,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
0,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,,,ifgsm,False,0.0,100.0,100.0
1,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,,,ifgsm,False,100.0,0.0,100.0
2,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,,,ifgsm,False,100.0,0.0,100.0
3,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,,,ifgsm,False,100.0,0.0,100.0
4,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
5,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
6,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
7,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
8,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,1.0,dense1,ifgsm,True,0.0,100.0,100.0
9,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,1.0,dense1,ifgsm,True,100.0,0.0,100.0
10,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,1.0,dense1,ifgsm,True,100.0,0.0,100.0
11,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,1.0,dense1,ifgsm,True,100.0,0.0,100.0
12,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,2.0,trans1,ifgsm,True,0.0,100.0,100.0
13,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,2.0,trans1,ifgsm,True,100.0,0.0,100.0
14,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,2.0,trans1,ifgsm,True,100.0,0.0,100.0
