,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
0,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
1,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
2,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
3,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
4,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,0.0,pre_layers,momentum_ifgsm,True,100.0,0.0,100.0
5,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,0.0,pre_layers,momentum_ifgsm,True,100.0,0.0,100.0
6,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,0.0,pre_layers,momentum_ifgsm,True,100.0,0.0,100.0
7,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,0.0,pre_layers,momentum_ifgsm,True,100.0,0.0,100.0
8,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,1.0,a3,momentum_ifgsm,True,100.0,0.0,100.0
9,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,1.0,a3,momentum_ifgsm,True,100.0,0.0,100.0
10,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,1.0,a3,momentum_ifgsm,True,100.0,0.0,100.0
11,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,1.0,a3,momentum_ifgsm,True,100.0,0.0,100.0
12,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,2.0,b3,momentum_ifgsm,True,100.0,0.0,100.0
13,GoogLeNet,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,2.0,b3,momentum_ifgsm,True,100.0,0.0,100.0
