,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
0,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
1,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
2,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
3,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,,,momentum_ifgsm,False,100.0,0.0,100.0
4,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
5,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
6,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
7,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,0.0,conv1,momentum_ifgsm,True,100.0,0.0,100.0
8,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
9,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
10,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
11,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,1.0,bn1,momentum_ifgsm,True,100.0,0.0,100.0
12,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
13,ResNet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
14,ResNet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,2.0,layer1,momentum_ifgsm,True,100.0,0.0,100.0
