,source_model,source_model_file,target_model,target_model_file,batch_index,layer_index,layer_name,fool_method,with_ILA,fool_rate,acc_after_attack,original_acc
0,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,0,,,ifgsm,False,100.0,0.0,100.0
1,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,0,,,ifgsm,False,100.0,0.0,100.0
2,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,0,,,ifgsm,False,100.0,0.0,100.0
3,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,,,ifgsm,False,100.0,0.0,100.0
4,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
5,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
6,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
7,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,0.0,conv1,ifgsm,True,100.0,0.0,100.0
8,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,1.0,bn1,ifgsm,True,100.0,0.0,100.0
9,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,1.0,bn1,ifgsm,True,100.0,0.0,100.0
10,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,1.0,bn1,ifgsm,True,100.0,0.0,100.0
11,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,1.0,bn1,ifgsm,True,100.0,0.0,100.0
12,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,2.0,layer1,ifgsm,True,100.0,0.0,100.0
13,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,2.0,layer1,ifgsm,True,100.0,0.0,100.0
14,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,2.0,layer1,ifgsm,True,100.0,0.0,100.0
15,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,2.0,layer1,ifgsm,True,100.0,0.0,100.0
16,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,3.0,layer2,ifgsm,True,100.0,0.0,100.0
17,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,3.0,layer2,ifgsm,True,100.0,0.0,100.0
18,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,3.0,layer2,ifgsm,True,100.0,0.0,100.0
19,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,3.0,layer2,ifgsm,True,100.0,0.0,100.0
20,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,4.0,layer3,ifgsm,True,100.0,0.0,100.0
21,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,4.0,layer3,ifgsm,True,100.0,0.0,100.0
22,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,4.0,layer3,ifgsm,True,100.0,0.0,100.0
23,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,4.0,layer3,ifgsm,True,100.0,0.0,100.0
24,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,5.0,layer4,ifgsm,True,100.0,0.0,100.0
25,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,5.0,layer4,ifgsm,True,100.0,0.0,100.0
26,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,5.0,layer4,ifgsm,True,100.0,0.0,100.0
27,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,5.0,layer4,ifgsm,True,100.0,0.0,100.0
28,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,6.0,linear,ifgsm,True,100.0,0.0,100.0
29,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,0,6.0,linear,ifgsm,True,100.0,0.0,100.0
30,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,0,6.0,linear,ifgsm,True,100.0,0.0,100.0
31,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,0,6.0,linear,ifgsm,True,100.0,0.0,100.0
32,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,ResNet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,1,,,ifgsm,False,100.0,0.0,100.0
33,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,DenseNet121,checkpoints/densenet121_epoch_315_acc_95.61.pth,1,,,ifgsm,False,100.0,0.0,100.0
34,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,GoogLeNet,checkpoints/googlenet_epoch_227_acc_94.86.pth,1,,,ifgsm,False,100.0,0.0,100.0
35,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,,,ifgsm,False,100.0,0.0,100.0
36,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,0.0,conv1,ifgsm,True,100.0,0.0,100.0
37,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,0.0,conv1,ifgsm,True,100.0,0.0,100.0
38,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,0.0,conv1,ifgsm,True,100.0,0.0,100.0
39,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,0.0,conv1,ifgsm,True,100.0,0.0,100.0
40,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,1.0,bn1,ifgsm,True,100.0,0.0,100.0
41,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,1.0,bn1,ifgsm,True,100.0,0.0,100.0
42,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,1.0,bn1,ifgsm,True,100.0,0.0,100.0
43,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,1.0,bn1,ifgsm,True,100.0,0.0,100.0
44,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,2.0,layer1,ifgsm,True,100.0,0.0,100.0
45,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,2.0,layer1,ifgsm,True,100.0,0.0,100.0
46,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,2.0,layer1,ifgsm,True,100.0,0.0,100.0
47,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,2.0,layer1,ifgsm,True,100.0,0.0,100.0
48,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,3.0,layer2,ifgsm,True,100.0,0.0,100.0
49,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,3.0,layer2,ifgsm,True,100.0,0.0,100.0
50,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,3.0,layer2,ifgsm,True,100.0,0.0,100.0
51,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,3.0,layer2,ifgsm,True,100.0,0.0,100.0
52,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,4.0,layer3,ifgsm,True,100.0,0.0,100.0
53,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,4.0,layer3,ifgsm,True,100.0,0.0,100.0
54,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,4.0,layer3,ifgsm,True,100.0,0.0,100.0
55,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,4.0,layer3,ifgsm,True,100.0,0.0,100.0
56,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,5.0,layer4,ifgsm,True,100.0,0.0,100.0
57,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,5.0,layer4,ifgsm,True,100.0,0.0,100.0
58,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,5.0,layer4,ifgsm,True,100.0,0.0,100.0
59,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,SENet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,5.0,layer4,ifgsm,True,100.0,0.0,100.0
60,SENet18,checkpoints/resnet18_epoch_347_acc_94.77.pth,ResNet18,checkpoints/senet18_epoch_279_acc_94.59.pth,1,6.0,linear,ifgsm,True,100.0,0.0,100.0
61,SENet18,checkpoints/densenet121_epoch_315_acc_95.61.pth,DenseNet121,checkpoints/senet18_epoch_279_acc_94.59.pth,1,6.0,linear,ifgsm,True,100.0,0.0,100.0
62,SENet18,checkpoints/googlenet_epoch_227_acc_94.86.pth,GoogLeNet,checkpoints/senet18_epoch_279_acc_94.59.pth,1,6.0,linear,ifgsm,True,100.0,0.0,100.0
